format,team1,team2,toss_winner,match_winner,venue,date
T20,Bhutan,Cambodia,Cambodia,Cambodia,"West End Park International Cricket Stadium, Doha",2024-11-28
ODM,Kenya,Nepal,Nepal,Kenya,Affies Park,2015-01-24
ODI,India,England,England,England,"Lord's, London",2025-07-19
T20,Uganda,Namibia,Uganda,Uganda,"United Cricket Club Ground, Windhoek",2023-05-02
ODM,Somerset,Warwickshire,Warwickshire,Warwickshire,"The Cooper Associates County Ground, Taunton",2025-08-17
T20,Northamptonshire,Leicestershire,Leicestershire,No Result,Grace Road,2014-07-04
ODI,New Zealand,Pakistan,Pakistan,New Zealand,Sharjah Cricket Stadium,2014-12-12
MDM,Middlesex,Hampshire,Hampshire,Hampshire,"Brunton Memorial Ground, Radlett",2020-08-08
MDM,Nondescripts Cricket Club,Tamil Union Cricket and Athletic Club,Nondescripts Cricket Club,No Result,"P Sara Oval, Colombo",2025-01-10
T20,Chennai Super Kings,Gujarat Titans,Gujarat Titans,Gujarat Titans,"Narendra Modi Stadium, Ahmedabad",2023-03-31
T20,Panama,Bermuda,Bermuda,Bermuda,"National Stadium, Hamilton",2023-10-04
ODM,Worcestershire,Leicestershire,Worcestershire,Worcestershire,"Grace Road, Leicester",2025-08-24
T20,Gloucestershire,Sussex,Sussex,Gloucestershire,County Ground,2014-06-06
T20,Scotland,United States of America,Scotland,Scotland,"Tolerance Oval, Abu Dhabi",2022-09-18
MDM,New South Wales,Victoria,Victoria,No Result,Sydney Cricket Ground,2024-02-16
T20,Barbados Tridents,Jamaica Tallawahs,Barbados Tridents,Barbados Tridents,Central Broward Regional Park Stadium Turf Ground,2017-08-05
T20,Samoa,Cook Islands,Samoa,Samoa,"Albert Park 1, Suva",2025-09-13
T20,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,"Wankhede Stadium, Mumbai",2024-05-06
IT20,Zimbabwe,Uganda,Uganda,Zimbabwe,Wanderers Cricket Ground,2017-09-13
ODM,Sinhalese Sports Club,Ragama Cricket Club,Ragama Cricket Club,Sinhalese Sports Club,"Sinhalese Sports Club Ground, Colombo",2024-06-22
ODI,New Zealand,Pakistan,New Zealand,No Result,Queenstown Events Centre,2011-01-26
T20,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Punjab Kings,Dubai International Cricket Stadium,2021-10-01
T20,South Africa,India,India,South Africa,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2025-12-11
T20,Hong Kong,Uganda,Uganda,Uganda,Entebbe Cricket Oval,2025-03-08
IT20,Nepal,Hong Kong,Hong Kong,Nepal,Terdthai Cricket Ground,2017-11-27
MDM,Nottinghamshire,Warwickshire,Warwickshire,Nottinghamshire,"Trent Bridge, Nottingham",2015-08-21
T20,Baroda,Goa,Baroda,Goa,Dr. Y.S. Rajasekhara Reddy ACA VDCA Cricket Stadium,2019-11-08
T20,Brisbane Heat,Sydney Thunder,Brisbane Heat,Brisbane Heat,"Brisbane Cricket Ground, Woolloongabba",2016-01-03
T20,Janakpur Bolts,Sudur Paschim Royals,Janakpur Bolts,Sudur Paschim Royals,"Tribhuvan University International Cricket Ground, Kirtipur",2025-11-29
MDM,Yorkshire,Lancashire,Yorkshire,No Result,"Headingley, Leeds",2020-08-22
T20,Netherlands,Ireland,Netherlands,Ireland,Sportpark Het Schootsveld,2019-08-08
ODM,Thunder,Sunrisers,Sunrisers,No Result,"Rookwood, Sale",2023-05-10
T20,Scotland,Malaysia,Scotland,Scotland,"Kinrara Academy Oval, Kuala Lumpur",2022-01-19
T20,Derbyshire,Northamptonshire,Northamptonshire,Northamptonshire,"County Ground, Derby",2023-05-29
MDM,Worcestershire,Gloucestershire,Worcestershire,Worcestershire,"County Ground, New Road, Worcester",2017-08-28
ODI,India,Pakistan,India,India,Adelaide Oval,2015-02-15
Test,England,Australia,Australia,Australia,Melbourne Cricket Ground,2025-01-30
T20,Hong Kong,Singapore,Singapore,Singapore,Terdthai Cricket Ground,2020-03-04
MDM,Canterbury,Otago Volts,Canterbury,No Result,"University Oval, Dunedin",2012-11-12
T20,India,New Zealand,New Zealand,New Zealand,Trent Bridge,2009-06-18
MDM,Leicestershire,Derbyshire,Leicestershire,Leicestershire,"County Ground, Derby",2025-07-22
MDM,Middlesex,Hampshire,Middlesex,Middlesex,"Merchant Taylors' School Ground, Northwood",2016-05-29
T20,Chittagong Kings,Sylhet Strikers,Sylhet Strikers,Chittagong Kings,"Shere Bangla National Stadium, Mirpur",2025-01-30
T20,Jaffna Stallions,Dambulla Viiking,Dambulla Viiking,Jaffna Stallions,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2020-11-30
T20,Tanzania,Mozambique,Mozambique,Tanzania,"Botswana Cricket Association Oval 1, Gaborone",2021-09-11
T20,Australia,Pakistan,Pakistan,Pakistan,Dubai International Cricket Stadium,2009-05-07
ODI,India,Australia,Australia,India,Feroz Shah Kotla,2009-10-31
T20,Panadura Sports Club,Colts Cricket Club,Panadura Sports Club,Panadura Sports Club,Colombo Cricket Club Ground,2025-06-12
T20,Colombo Kings,Galle Gladiators,Colombo Kings,Galle Gladiators,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2020-12-07
T20,Pakistan,West Indies,Pakistan,Pakistan,Sheikh Zayed Stadium,2016-09-27
T20,MI Emirates,Desert Vipers,MI Emirates,Desert Vipers,Dubai International Cricket Stadium,2025-01-16
MDM,Derbyshire,Northamptonshire,Derbyshire,Derbyshire,"County Ground, Northampton",2015-07-18
T20,Worcestershire,Nottinghamshire,Nottinghamshire,Worcestershire,Trent Bridge,2014-05-23
T20,Rajshahi Royals,Khulna Tigers,Khulna Tigers,Rajshahi Royals,"Shere Bangla National Stadium, Mirpur",2020-01-17
ODI,New Zealand,India,New Zealand,New Zealand,Seddon Park,2019-01-31
T20,Manchester Originals,Oval Invincibles,Manchester Originals,Oval Invincibles,"Old Trafford, Manchester",2024-08-06
T20,Australia,South Africa,Australia,Australia,R Premadasa Stadium,2012-09-30
T20,Mongolia,China,Mongolia,China,Zhejiang University of Technology Cricket Field,2024-11-07
ODM,Surrey,Northamptonshire,Surrey,Surrey,"Kennington Oval, London",2015-07-27
ODM,Bloomfield Cricket and Athletic Club,Kurunegala Youth Cricket Club,Kurunegala Youth Cricket Club,Bloomfield Cricket and Athletic Club,"Colts Cricket Club Ground, Colombo",2025-07-01
T20,Melbourne Renegades,Sydney Thunder,Sydney Thunder,Sydney Thunder,Junction Oval,2018-12-02
ODI,New Zealand,England,England,England,Eden Park,2008-02-15
T20,Hampshire,Somerset,Hampshire,Hampshire,"The Cooper Associates County Ground, Taunton",2025-06-19
T20,Ace Capital Cricket Club,Panadura Sports Club,Panadura Sports Club,Panadura Sports Club,"Colts Cricket Club Ground, Colombo",2025-05-26
T20,Dhaka Platoon,Sylhet Thunder,Sylhet Thunder,Dhaka Platoon,"Shere Bangla National Stadium, Mirpur",2019-12-14
ODI,Sri Lanka,Pakistan,Pakistan,Pakistan,R Premadasa Stadium,2015-07-19
T20,New Zealand,West Indies,West Indies,New Zealand,Westpac Stadium,2014-01-15
ODI,England,Sri Lanka,Sri Lanka,England,"R Premadasa Stadium, Colombo",2025-10-11
ODM,Kenya,United Arab Emirates,United Arab Emirates,Kenya,The Rose Bowl (Nursery),2015-06-27
T20,Perth Scorchers,Adelaide Strikers,Perth Scorchers,Perth Scorchers,Perth Stadium,2018-12-26
T20,United Arab Emirates,Netherlands,Netherlands,Netherlands,"Asian Institute of Technology Ground, Bangkok",2025-11-21
T20,Rangpur Riders,Sylhet Strikers,Rangpur Riders,Rangpur Riders,"Shere Bangla National Stadium, Mirpur",2024-12-31
ODI,New Zealand,Bangladesh,New Zealand,New Zealand,McLean Park,2007-12-28
T20,Croatia,Spain,Spain,Spain,"Mladost Cricket Ground, Zagreb",2024-08-02
T20,Bahrain,Kuwait,Kuwait,Kuwait,"Mission Road Ground, Mong Kok, Hong Kong",2023-03-12
MDM,Canterbury,Central Stags,Central Stags,Central Stags,Hagley Oval,2017-11-07
T20,Gibraltar,Estonia,Estonia,Gibraltar,Europa Sports Complex,2024-04-21
MDM,Western Australia,Queensland,Queensland,Western Australia,"Western Australia Cricket Association Ground, Perth",2019-03-20
T20,Thailand,Zimbabwe,Thailand,Thailand,"Takashinga Sports Club, Highfield, Harare",2021-08-30
T20,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,2018-05-16
T20,Nottinghamshire,Warwickshire,Warwickshire,Warwickshire,Trent Bridge,2016-05-20
T20,Peshawar Zalmi,Multan Sultans,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,2018-03-06
T20,Barbados Royals,Antigua and Barbuda Falcons,Antigua and Barbuda Falcons,Antigua and Barbuda Falcons,"Kensington Oval, Bridgetown, Barbados",2025-09-05
T20,Hong Kong,Jersey,Hong Kong,Hong Kong,Sheikh Zayed Stadium,2019-10-23
T20,Hong Kong,Kuwait,Hong Kong,Hong Kong,"ICC Academy, Dubai",2021-11-28
T20,Dhaka Dynamites,Rangpur Riders,Dhaka Dynamites,Dhaka Dynamites,"Shere Bangla National Stadium, Mirpur",2017-12-06
ODI,Australia,Sri Lanka,Australia,Sri Lanka,"R Premadasa Stadium, Colombo",2022-06-19
T20,Sunrisers,Central Sparks,Central Sparks,Central Sparks,"County Ground, New Road, Worcester",2024-05-19
T20,Quetta Gladiators,Karachi Kings,Karachi Kings,Quetta Gladiators,"Gaddafi Stadium, Lahore",2025-04-25
ODM,Essex,Derbyshire,Essex,Essex,"County Ground, Derby",2025-08-26
MDM,Northern Districts,Central Stags,Central Stags,No Result,Bay Oval,2017-10-23
T20,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,Feroz Shah Kotla,2016-05-25
T20,Jozi Stars,Nelson Mandela Bay Giants,Nelson Mandela Bay Giants,Nelson Mandela Bay Giants,"New Wanderers Stadium, Johannesburg",2018-11-17
T20,Kenya,Nigeria,Kenya,Kenya,"High Performance Oval, Windhoek",2025-09-04
T20,Northern Districts,Canterbury,Canterbury,Canterbury,Hagley Oval,2020-01-05
T20,Durbar Rajshahi,Rangpur Riders,Rangpur Riders,Durbar Rajshahi,"Shere Bangla National Stadium, Mirpur",2025-01-26
IT20,Malaysia,Oman,Oman,Oman,Sharjah Cricket Stadium,2015-01-26
T20,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2016-04-16
MDM,Gloucestershire,Worcestershire,Worcestershire,No Result,"College Ground, Cheltenham",2017-07-09
T20,Bangladesh,Pakistan,Pakistan,Bangladesh,"Shere Bangla National Stadium, Mirpur",2025-07-22
T20,Central Districts,Northern Districts,Central Districts,Central Districts,"Saxton Oval, Nelson",2025-01-06
MDM,Glamorgan,Yorkshire,Yorkshire,No Result,"Sophia Gardens, Cardiff",2021-05-13
T20,Namibia,India,India,India,Dubai International Cricket Stadium,2021-11-08
ODI,New Zealand,Australia,Australia,Australia,Basin Reserve,2005-03-01
T20,Madhya Pradesh,Karnataka,Karnataka,Karnataka,"Abhimanyu Cricket Academy, Dehradun",2023-10-19
ODI,England,West Indies,West Indies,England,Lord's,2007-07-01
ODM,Durham,Derbyshire,Durham,Derbyshire,"County Ground, Derby",2018-05-23
T20,Tanzania,Uganda,Tanzania,Tanzania,Gahanga International Cricket Stadium. Rwanda,2019-06-18
T20,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Hobart Hurricanes,Melbourne Cricket Ground,2018-01-28
ODM,Ireland,Netherlands,Netherlands,Ireland,Old Hararians Sports Club,2018-03-04
ODI,India,West Indies,India,India,Holkar Cricket Stadium,2011-12-08
T20,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024-04-12
MDM,Somerset,Yorkshire,Yorkshire,Somerset,"County Ground, Taunton",2018-04-27
T20,Glamorgan,Middlesex,Middlesex,Middlesex,Sophia Gardens,2019-07-26
ODM,Worcestershire,Gloucestershire,Gloucestershire,Gloucestershire,"County Ground, New Road, Worcester",2015-08-05
T20,West Indies,Australia,Australia,Australia,"Warner Park, Basseterre, St Kitts",2025-07-25
T20,Bangladesh,Pakistan,Pakistan,Pakistan,Shere Bangla National Stadium,2011-11-29
T20,Worcestershire,Birmingham Bears,Birmingham Bears,Worcestershire,Edgbaston,2018-08-17
T20,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,Biratnagar Kings,"Tribhuvan University International Cricket Ground, Kirtipur",2025-12-06
ODI,New Zealand,Sri Lanka,New Zealand,No Result,Pallekele International Cricket Stadium,2024-11-19
T20,Kenya,Malaysia,Kenya,Malaysia,"Kinrara Academy Oval, Kuala Lumpur",2022-01-23
T20,Tanzania,Hong Kong,Tanzania,Hong Kong,Hong Kong Cricket Club,2023-11-18
ODM,Essex,The Blaze,The Blaze,The Blaze,"Haslegrave Ground, Loughborough",2025-05-06
ODI,Bangladesh,India,India,Bangladesh,"R Premadasa Stadium, Colombo",2023-09-15
T20,Sussex,Middlesex,Sussex,Sussex,"County Ground, Hove",2019-08-09
T20,Perth Scorchers,Brisbane Heat,Brisbane Heat,Brisbane Heat,Western Australia Cricket Association Ground,2013-01-19
Test,Sri Lanka,Pakistan,Pakistan,Sri Lanka,P Sara Oval,2009-07-12
T20,Sri Lanka,West Indies,West Indies,West Indies,R Premadasa Stadium,2012-10-07
T20,Warriors,Titans,Titans,Titans,"St George's Park, Port Elizabeth",2013-02-22
T20,Northern Superchargers,Southern Brave,Southern Brave,Southern Brave,"The Rose Bowl, Southampton",2023-08-06
T20,Lancashire,Leicestershire,Leicestershire,Leicestershire,Aigburth,2017-07-09
T20,Cyprus,Estonia,Cyprus,Estonia,Happy Valley Ground,2024-06-17
ODI,New Zealand,Bangladesh,New Zealand,New Zealand,Queenstown Events Centre,2007-12-31
T20,Trinbago Knight Riders,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,"Warner Park, Basseterre, St Kitts",2021-09-11
MDM,Durham,Nottinghamshire,Nottinghamshire,Durham,"Riverside Ground, Chester-le-Street",2024-08-22
MDM,Tasmania,Western Australia,Tasmania,Western Australia,"Western Australia Cricket Association Ground, Perth",2023-03-02
ODM,North-West Warriors,Northern Knights,North-West Warriors,North-West Warriors,"Civil Service Cricket Club, Stormont, Belfast",2019-05-27
T20,Mexico,Costa Rica,Mexico,Mexico,Los Reyes Polo Club,2024-04-12
ODI,South Africa,Australia,Australia,South Africa,SuperSport Park,2009-04-05
MDM,Central Stags,Canterbury,Canterbury,Canterbury,"Saxton Oval, Nelson",2024-11-19
T20,St Kitts and Nevis Patriots,Barbados Royals,Barbados Royals,Barbados Royals,"Kensington Oval, Bridgetown, Barbados",2024-09-17
T20,Otago,Northern Districts,Northern Districts,Otago,University Oval,2021-02-06
ODI,New Zealand,India,India,New Zealand,Seddon Park,2014-01-22
ODM,South East Stars,Western Storm,Western Storm,Western Storm,"Kent County Cricket Ground, Beckenham",2020-08-29
T20,Northamptonshire,Worcestershire,Worcestershire,Northamptonshire,County Ground,2016-06-03
T20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium,2017-05-19
ODM,South East Stars,Lightning,South East Stars,South East Stars,"Grace Road, Leicester",2022-09-17
ODM,Ace Capital Cricket Club,Nondescripts Cricket Club,Nondescripts Cricket Club,Nondescripts Cricket Club,Sri Lanka Army Ordnance Corps International Cricket Stadium,2024-08-05
ODM,Oman,United States of America,Oman,Oman,United Cricket Club Ground,2019-04-20
MDM,Lancashire,Nottinghamshire,Lancashire,Nottinghamshire,"Trent Bridge, Nottingham",2024-05-10
MDM,Western Australia,Victoria,Victoria,Victoria,"Junction Oval, Melbourne",2024-11-15
T20,Switzerland,Estonia,Switzerland,Switzerland,Estonian National Cricket and Rugby Field,2025-08-03
ODM,United States of America,Oman,United States of America,United States of America,"Severn Cricket Field, Woodley Park",2016-11-05
ODM,Surrey,Nottinghamshire,Nottinghamshire,Surrey,"The John Fretwell Sporting Complex, Sookholme",2023-08-13
T20,Sri Lanka,England,Sri Lanka,England,P Sara Oval,2019-03-28
MDM,Victoria,South Australia,South Australia,Victoria,Adelaide Oval,2020-03-06
T20,Malaysia,Bahrain,Bahrain,Bahrain,"Bayuemas Oval, Kuala Lumpur",2025-03-10
Test,England,Australia,Australia,Australia,St Lawrence Ground,2015-08-11
ODM,Western Storm,Sunrisers,Western Storm,Sunrisers,"Radlett Cricket Club, Radlett",2023-09-05
ODM,Moors Sports Club,Bloomfield Cricket and Athletic Club,Bloomfield Cricket and Athletic Club,Moors Sports Club,"Moors Sports Club Ground, Colombo",2025-06-27
ODM,Malaysia,United Arab Emirates,United Arab Emirates,United Arab Emirates,Kinrara Academy Oval,2014-05-05
ODI,New Zealand,India,New Zealand,India,"Westpac Stadium, Wellington",2003-01-08
ODM,Somerset,Nottinghamshire,Nottinghamshire,Somerset,"Trent Bridge, Nottingham",2019-05-12
MDM,Nottinghamshire,Worcestershire,Nottinghamshire,No Result,"Trent Bridge, Nottingham",2024-04-12
T20,Durham,Yorkshire,Durham,Durham,Riverside Ground,2017-08-04
T20,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023-04-01
MDM,Kent,Lancashire,Lancashire,Lancashire,"St Lawrence Ground, Canterbury",2024-06-23
T20,Titans,Knights,Knights,Titans,"Diamond Oval, Kimberley",2017-11-15
T20,Texas Super Kings,Seattle Orcas,Texas Super Kings,Seattle Orcas,Grand Prairie Stadium,2023-07-27
T20,Pakistan,Sri Lanka,Sri Lanka,Sri Lanka,Lord's,2009-06-12
T20,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",2008-05-23
T20,Australia,Sri Lanka,Australia,Sri Lanka,Pallekele International Cricket Stadium,2022-06-11
ODI,Australia,New Zealand,New Zealand,Australia,Manuka Oval,2016-12-06
T20,Seattle Orcas,Washington Freedom,Seattle Orcas,Washington Freedom,"Oakland Coliseum,Oakland",2025-06-14
T20,Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Blacktown International Sportspark,2020-11-03
T20,Ireland,Scotland,Ireland,Scotland,La Manga Club Top Ground,2021-08-27
ODI,India,Sri Lanka,Sri Lanka,Sri Lanka,"Brisbane Cricket Ground, Woolloongabba",2012-02-21
T20,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011-05-01
IT20,United Arab Emirates,Italy,United Arab Emirates,Italy,Sheikh Zayed Stadium Nursery 2,2013-11-23
T20,Lancashire,The Blaze,The Blaze,The Blaze,"Grace Road, Leicester",2025-06-19
ODI,Australia,Pakistan,Pakistan,Australia,Sharjah Cricket Stadium,2019-03-22
MDM,Tasmania,Queensland,Queensland,Queensland,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2020-02-14
ODI,Australia,England,England,Australia,Melbourne Cricket Ground,2015-02-14
T20,Durban's Super Giants,Pretoria Capitals,Durban's Super Giants,Durban's Super Giants,"Kingsmead, Durban",2024-01-30
T20,Denmark,Sweden,Sweden,Sweden,Kerava National Cricket Ground,2023-08-26
ODI,West Indies,England,England,England,Providence Stadium,2009-03-20
MDM,Worcestershire,Leicestershire,Leicestershire,Worcestershire,Oakham School Ground,2023-07-19
T20,England,Pakistan,England,England,Dubai International Cricket Stadium,2015-11-26
T20,New Zealand,India,New Zealand,New Zealand,Westpac Stadium,2009-02-27
T20,Northern Districts,Canterbury,Northern Districts,Canterbury,Hagley Oval,2021-01-15
ODI,South Africa,England,England,England,The Wanderers Stadium,2005-01-30
T20,England,West Indies,England,West Indies,Sylhet Stadium,2014-03-24
T20,Wellington,Central Districts,Wellington,Wellington,"Fitzherbert Park, Palmerston North",2025-12-27
MDM,Somerset,Lancashire,Somerset,No Result,"Old Trafford, Manchester",2014-06-01
T20,Yorkshire,Leicestershire,Yorkshire,Leicestershire,Headingley,2016-05-27
T20,Sunrisers,Thunder,Sunrisers,Thunder,"Stanley Park, Blackpool",2024-06-09
T20,Scotland,Ireland,Scotland,Scotland,"Civil Service Cricket Club, Stormont, Belfast",2021-05-24
MDM,Wellington Firebirds,Canterbury,Canterbury,Wellington Firebirds,"Basin Reserve, Wellington",2025-03-29
IT20,Sweden,Israel,Israel,Sweden,Sportpark Thurlede,2018-08-30
T20,MI Emirates,Sharjah Warriors,Sharjah Warriors,MI Emirates,Sharjah Cricket Stadium,2024-01-26
ODI,Bangladesh,Sri Lanka,Bangladesh,Bangladesh,"R Premadasa Stadium, Colombo",2025-07-05
T20,Guyana Amazon Warriors,Barbados Tridents,Guyana Amazon Warriors,Guyana Amazon Warriors,"Queen's Park Oval, Port of Spain",2013-08-11
T20,Pakistan,New Zealand,New Zealand,New Zealand,"Sky Stadium, Wellington",2025-03-26
Test,England,Australia,England,Australia,Kennington Oval,2015-08-20
MDM,Leicestershire,Derbyshire,Derbyshire,No Result,"Grace Road, Leicester",2025-04-11
T20,Canterbury,Northern Districts,Northern Districts,Canterbury,"Hagley Oval, Christchurch",2023-01-13
T20,Somerset,Hampshire,Somerset,Somerset,The Cooper Associates County Ground,2017-07-26
T20,Uganda,Zimbabwe,Uganda,Zimbabwe,Harare Sports Club,2025-09-26
T20,Barbados Tridents,St Lucia Zouks,Barbados Tridents,Barbados Tridents,"Warner Park, Basseterre",2015-07-01
Test,England,South Africa,England,England,Old Trafford,2017-08-04
T20,England,Bangladesh,Bangladesh,Bangladesh,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023-03-09
